agent,grid,param_changed,param_value,alpha,episodes,epsilon,epsilon_decay,gamma,iter,sigma,theta,cumulative_reward,total_steps,total_agent_moves,total_failed_moves,total_targets_reached,targets_remaining
QLearningAgent,A1_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,,23.0,16,14,2,1,0
QLearningAgent,A1_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,,23.0,16,14,2,1,0
QLearningAgent,A1_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,,23.0,16,14,2,1,0
QLearningAgent,A1_grid,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,,35.0,16,16,0,1,0
QLearningAgent,A1_grid,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,,35.0,16,16,0,1,0
QLearningAgent,A1_grid,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,,28.0,17,16,1,1,0
QLearningAgent,A1_grid,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,,39.0,12,12,0,1,0
QLearningAgent,A1_grid,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,,15.0,24,22,2,1,0
QLearningAgent,A1_grid,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,,35.0,16,16,0,1,0
QLearningAgent,A1_grid,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,,28.0,17,16,1,1,0
QLearningAgent,Maze,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,,17.0,34,34,0,1,0
QLearningAgent,Maze,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,,-74.0,71,62,9,1,0
QLearningAgent,Maze,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,,8.0,37,36,1,1,0
QLearningAgent,test_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,,48.0,3,3,0,1,0
QLearningAgent,test_grid,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,,39.0,6,5,1,1,0
QLearningAgent,test_grid,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,,41.0,4,3,1,1,0
QLearningAgent,large_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,,30.0,21,21,0,1,0
QLearningAgent,large_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,,30.0,21,21,0,1,0
QLearningAgent,large_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,,30.0,21,21,0,1,0
QLearningAgent,large_grid,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,,30.0,21,21,0,1,0
QLearningAgent,large_grid,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,,30.0,21,21,0,1,0
QLearningAgent,large_grid,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,,30.0,21,21,0,1,0
QLearningAgent,large_grid,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,,34.0,17,17,0,1,0
QLearningAgent,large_grid,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,,-21.0,30,23,7,1,0
QLearningAgent,large_grid,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,,30.0,21,21,0,1,0
QLearningAgent,large_grid,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,,30.0,21,21,0,1,0
ValueIterationAgent,A1_grid,gamma,0.6,,,,,0.6,2000,0.1,1e-06,28.0,17,16,1,1,0
ValueIterationAgent,A1_grid,gamma,0.95,,,,,0.95,2000,0.1,1e-06,35.0,16,16,0,1,0
ValueIterationAgent,A1_grid,theta,1e-05,,,,,0.9,2000,0.1,1e-05,35.0,16,16,0,1,0
ValueIterationAgent,A1_grid,sigma,0.0,,,,,0.9,2000,0.0,1e-06,39.0,12,12,0,1,0
ValueIterationAgent,A1_grid,sigma,0.5,,,,,0.9,2000,0.5,1e-06,15.0,24,22,2,1,0
ValueIterationAgent,A1_grid,iter,5000.0,,,,,0.9,5000,0.1,1e-06,35.0,16,16,0,1,0
ValueIterationAgent,Maze,gamma,0.6,,,,,0.6,2000,0.1,1e-06,-2168.0,2000,1972,28,0,1
ValueIterationAgent,Maze,gamma,0.95,,,,,0.95,2000,0.1,1e-06,8.0,37,36,1,1,0
ValueIterationAgent,Maze,theta,1e-05,,,,,0.9,2000,0.1,1e-05,8.0,37,36,1,1,0
ValueIterationAgent,Maze,sigma,0.0,,,,,0.9,2000,0.0,1e-06,17.0,34,34,0,1,0
ValueIterationAgent,Maze,sigma,0.5,,,,,0.9,2000,0.5,1e-06,-1681.0,1048,934,114,1,0
ValueIterationAgent,Maze,iter,5000.0,,,,,0.9,5000,0.1,1e-06,8.0,37,36,1,1,0
ValueIterationAgent,test_grid,gamma,0.6,,,,,0.6,2000,0.1,1e-06,41.0,4,3,1,1,0
ValueIterationAgent,test_grid,gamma,0.95,,,,,0.95,2000,0.1,1e-06,41.0,4,3,1,1,0
ValueIterationAgent,test_grid,theta,1e-05,,,,,0.9,2000,0.1,1e-05,41.0,4,3,1,1,0
ValueIterationAgent,test_grid,sigma,0.0,,,,,0.9,2000,0.0,1e-06,48.0,3,3,0,1,0
ValueIterationAgent,test_grid,sigma,0.5,,,,,0.9,2000,0.5,1e-06,39.0,6,5,1,1,0
ValueIterationAgent,test_grid,iter,5000.0,,,,,0.9,5000,0.1,1e-06,41.0,4,3,1,1,0
ValueIterationAgent,large_grid,gamma,0.6,,,,,0.6,2000,0.1,1e-06,30.0,21,21,0,1,0
ValueIterationAgent,large_grid,gamma,0.95,,,,,0.95,2000,0.1,1e-06,30.0,21,21,0,1,0
ValueIterationAgent,large_grid,theta,1e-05,,,,,0.9,2000,0.1,1e-05,30.0,21,21,0,1,0
ValueIterationAgent,large_grid,sigma,0.0,,,,,0.9,2000,0.0,1e-06,34.0,17,17,0,1,0
ValueIterationAgent,large_grid,sigma,0.5,,,,,0.9,2000,0.5,1e-06,-21.0,30,23,7,1,0
ValueIterationAgent,large_grid,iter,5000.0,,,,,0.9,5000,0.1,1e-06,30.0,21,21,0,1,0
MCAgentOn,A1_grid,gamma,0.95,,2000.0,0.1,,0.95,2000,0.1,,-2126.0,2000,1979,21,0,1
MCAgentOn,A1_grid,gamma,0.999,,2000.0,0.1,,0.999,2000,0.1,,-61.0,28,14,14,1,0
MCAgentOn,A1_grid,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,,21.0,18,16,2,1,0
MCAgentOn,A1_grid,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,,16.0,17,14,3,1,0
MCAgentOn,A1_grid,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,,39.0,12,12,0,1,0
MCAgentOn,A1_grid,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,,-8.0,29,24,5,1,0
MCAgentOn,A1_grid,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,,-66.0,27,12,15,1,0
MCAgentOn,A1_grid,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,,-487.0,94,20,74,1,0
MCAgentOn,Maze,gamma,0.95,,2000.0,0.1,,0.95,2000,0.1,,-2762.0,2000,1873,127,0,1
MCAgentOn,Maze,gamma,0.999,,2000.0,0.1,,0.999,2000,0.1,,-13448.0,2000,92,1908,0,1
MCAgentOn,Maze,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,,-13448.0,2000,92,1908,0,1
MCAgentOn,Maze,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,,-2156.0,2000,1974,26,0,1
MCAgentOn,Maze,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,,-14000.0,2000,0,2000,0,1
MCAgentOn,Maze,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,,-10460.0,2000,590,1410,0,1
MCAgentOn,Maze,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,,-13448.0,2000,92,1908,0,1
MCAgentOn,Maze,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,,-31796.0,5000,534,4466,0,1
MCAgentOn,test_grid,gamma,0.95,,2000.0,0.1,,0.95,2000,0.1,,41.0,4,3,1,1,0
MCAgentOn,test_grid,gamma,0.999,,2000.0,0.1,,0.999,2000,0.1,,41.0,4,3,1,1,0
MCAgentOn,test_grid,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,,41.0,4,3,1,1,0
MCAgentOn,test_grid,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,,41.0,4,3,1,1,0
MCAgentOn,test_grid,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,,46.0,5,5,0,1,0
MCAgentOn,test_grid,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,,41.0,4,3,1,1,0
MCAgentOn,test_grid,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,,41.0,4,3,1,1,0
MCAgentOn,test_grid,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,,41.0,4,3,1,1,0
MCAgentOn,large_grid,gamma,0.95,,2000.0,0.1,,0.95,2000,0.1,,-13046.0,2000,159,1841,0,1
MCAgentOn,large_grid,gamma,0.999,,2000.0,0.1,,0.999,2000,0.1,,-401.0,86,25,61,1,0
MCAgentOn,large_grid,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,,-12878.0,2000,187,1813,0,1
MCAgentOn,large_grid,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,,-528.0,99,19,80,1,0
MCAgentOn,large_grid,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,,-14000.0,2000,0,2000,0,1
MCAgentOn,large_grid,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,,-9578.0,2000,737,1263,0,1
MCAgentOn,large_grid,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,,-122.0,41,19,22,1,0
MCAgentOn,large_grid,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,,-22822.0,3493,263,3230,1,0
